ID	HMDB_ID	standard_metName	metName	Gene_name	Protein_name	Evidence	Annotation
549	HMDB0000464	Calcium	Calcium	GJC2	Gap junction gamma-2 protein	Cellinker	Channel
550	HMDB0000464	Calcium	Calcium	GJA8	Gap junction alpha-8 protein	Cellinker	Channel
551	HMDB0000464	Calcium	Calcium	GJA9	Gap junction alpha-9 protein	Cellinker	Channel
552	HMDB0000464	Calcium	Calcium	GJA10	Gap junction alpha-10 protein	Cellinker	Channel
553	HMDB0000464	Calcium	Calcium	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	Cellinker	Receptor
554	HMDB0000464	Calcium	Calcium	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2	Cellinker	Receptor
555	HMDB0000464	Calcium	Calcium	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3	Cellinker	Receptor
556	HMDB0000464	Calcium	Calcium	KCNN1	Small conductance calcium-activated potassium channel protein 1	Cellinker	Channel
557	HMDB0000464	Calcium	Calcium	KCNN2	Small conductance calcium-activated potassium channel protein 2	Cellinker	Channel
558	HMDB0000464	Calcium	Calcium	RYR1	Ryanodine receptor 1	Cellinker	Receptor
559	HMDB0000464	Calcium	Calcium	RYR2	Ryanodine receptor 2	Cellinker	Receptor
560	HMDB0000464	Calcium	Calcium	RYR3	Ryanodine receptor 3	Cellinker	Receptor
561	HMDB0000464	Calcium	Calcium	TRPC5	Short transient receptor potential channel 5	Cellinker	Receptor; Channel
562	HMDB0000464	Calcium	Calcium	TRPM2	Transient receptor potential cation channel subfamily M member 2	Cellinker	Receptor
563	HMDB0000464	Calcium	Calcium	TRPM4	Transient receptor potential cation channel subfamily M member 4	Cellinker	Receptor; Channel
564	HMDB0000464	Calcium	Calcium	TRPM6	Transient receptor potential cation channel subfamily M member 6	Cellinker	Receptor; Channel
565	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	GPR17	Uracil nucleotide/cysteinyl leukotriene receptor	Cellinker	Receptor
566	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	Cellinker	Receptor
567	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	RYR1	Ryanodine receptor 1	Cellinker	Receptor
568	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	RYR2	Ryanodine receptor 2	Cellinker	Receptor
569	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	RYR3	Ryanodine receptor 3	Cellinker	Receptor
570	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	TRPM4	Transient receptor potential cation channel subfamily M member 4	Cellinker	Receptor; Channel
571	HMDB0000588	Sodium	Sodium	KCNJ3	G protein-activated inward rectifier potassium channel 1	Cellinker	Channel
572	HMDB0000588	Sodium	Sodium	KCNJ6	G protein-activated inward rectifier potassium channel 2	Cellinker	Channel
573	HMDB0000588	Sodium	Sodium	KCNJ5	G protein-activated inward rectifier potassium channel 4	Cellinker	Channel
574	HMDB0000588	Sodium	Sodium	TRPM3	Transient receptor potential cation channel subfamily M member 3	Cellinker	Receptor; Channel
575	HMDB0000619	Cholic acid	Cholic acid	GPBAR1	G-protein coupled bile acid receptor 1	Cellinker	Receptor
576	HMDB0000626	Deoxycholic acid	Deoxycholic acid	GPBAR1	G-protein coupled bile acid receptor 1	Cellinker	Receptor
577	HMDB0000641	L-Glutamine	L-Glutamine	GPRC6A	G-protein coupled receptor family C group 6 member A	Cellinker	Receptor
578	HMDB0000673	Linoleic acid	Linoleic acid	FFAR4	Free fatty acid receptor 4	Cellinker	Receptor
579	HMDB0000673	Linoleic acid	Linoleic acid	HNF4A	Hepatocyte nuclear factor 4-alpha	Cellinker	Nuclear Receptor
580	HMDB0000673	Linoleic acid	Linoleic acid	PPARG	Peroxisome proliferator-activated receptor gamma	Cellinker	Nuclear Receptor
581	HMDB0000761	Lithocholic acid	Lithocholic acid	NR1I2	Nuclear receptor subfamily 1 group I member 2	Cellinker	Nuclear Receptor
582	HMDB0000795	Pristanic acid	Pristanic acid	RORC	Nuclear receptor ROR-gamma	Cellinker	Nuclear Receptor
583	HMDB0000806	Myristic acid	Myristic acid	FFAR1	Free fatty acid receptor 1	Cellinker	Receptor
584	HMDB0000806	Myristic acid	Myristic acid	FFAR4	Free fatty acid receptor 4	Cellinker	Receptor
585	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	GABRA1	Gamma-aminobutyric acid receptor subunit alpha-1	Cellinker	Receptor
586	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2	Cellinker	Receptor
587	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	GABRA3	Gamma-aminobutyric acid receptor subunit alpha-3	Cellinker	Receptor
588	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	GABRA4	Gamma-aminobutyric acid receptor subunit alpha-4	Cellinker	Receptor
589	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	GABRA5	Gamma-aminobutyric acid receptor subunit alpha-5	Cellinker	Receptor
590	HMDB0000879	Tetrahydrodeoxycorticosterone	Tetrahydrodeoxycorticosterone	GABRA6	Gamma-aminobutyric acid receptor subunit alpha-6	Cellinker	Receptor
591	HMDB0000895	Acetylcholine	Acetylcholine	CHRNA3	Neuronal acetylcholine receptor subunit alpha-3	Cellinker	Receptor
592	HMDB0000895	Acetylcholine	Acetylcholine	CHRNA5	Neuronal acetylcholine receptor subunit alpha-5	Cellinker	Transporter
593	HMDB0000895	Acetylcholine	Acetylcholine	CHRNA6	Neuronal acetylcholine receptor subunit alpha-6	Cellinker	Receptor
594	HMDB0000895	Acetylcholine	Acetylcholine	CHRNA9	Neuronal acetylcholine receptor subunit alpha-9	Cellinker	Receptor
595	HMDB0000895	Acetylcholine	Acetylcholine	CHRNA10	Neuronal acetylcholine receptor subunit alpha-10	Cellinker	Receptor
596	HMDB0000895	Acetylcholine	Acetylcholine	CHRNB1	Acetylcholine receptor subunit beta	Cellinker	Receptor
597	HMDB0000895	Acetylcholine	Acetylcholine	CHRNB2	Neuronal acetylcholine receptor subunit beta-2	Cellinker	Receptor
598	HMDB0000895	Acetylcholine	Acetylcholine	CHRNB3	Neuronal acetylcholine receptor subunit beta-3	Cellinker	Receptor
599	HMDB0000895	Acetylcholine	Acetylcholine	CHRNB4	Neuronal acetylcholine receptor subunit beta-4	Cellinker	Receptor
600	HMDB0000895	Acetylcholine	Acetylcholine	CHRND	Acetylcholine receptor subunit delta	Cellinker	Receptor
601	HMDB0000895	Acetylcholine	Acetylcholine	CHRNE	Acetylcholine receptor subunit epsilon	Cellinker	Receptor
602	HMDB0000895	Acetylcholine	Acetylcholine	CHRNG	Acetylcholine receptor subunit gamma	Cellinker	Receptor
603	HMDB0000895	Acetylcholine	Acetylcholine	ACHE	Acetylcholinesterase	Cellinker	Enzyme
604	HMDB0000902	NAD	NAD	TRPM2	Transient receptor potential cation channel subfamily M member 2	Cellinker	Receptor
605	HMDB0000929	L-Tryptophan	L-Tryptophan	CASR	Extracellular calcium-sensing receptor	Cellinker	Receptor
606	HMDB0000929	L-Tryptophan	L-Tryptophan	GPR139	Probable G-protein coupled receptor 139	Cellinker	Receptor
607	HMDB0000961	Farnesyl pyrophosphate	Farnesyl pyrophosphate	MVK	Mevalonate kinase	Cellinker	Enzyme
608	HMDB0000961	Farnesyl pyrophosphate	Farnesyl pyrophosphate	GPR183	G-protein coupled receptor 183	Cellinker	Receptor
609	HMDB0000961	Farnesyl pyrophosphate	Farnesyl pyrophosphate	LPAR2	Lysophosphatidic acid receptor 2	Cellinker	Receptor
610	HMDB0000961	Farnesyl pyrophosphate	Farnesyl pyrophosphate	SUCNR1	Succinate receptor 1	Cellinker	Receptor
611	HMDB0000961	Farnesyl pyrophosphate	Farnesyl pyrophosphate	CYSLTR1	Cysteinyl leukotriene receptor 1	Cellinker	Receptor
612	HMDB0001043	Arachidonic acid	Arachidonic acid	CLCN2	Chloride channel protein 2	Cellinker	Channel
613	HMDB0001043	Arachidonic acid	Arachidonic acid	KCNK10	Potassium channel subfamily K member 10	Cellinker	Channel
614	HMDB0001043	Arachidonic acid	Arachidonic acid	KCNK18	Potassium channel subfamily K member 18	Cellinker	Channel
615	HMDB0001043	Arachidonic acid	Arachidonic acid	KCNK2	Potassium channel subfamily K member 2	Cellinker	Channel
616	HMDB0001043	Arachidonic acid	Arachidonic acid	KCNK4	Potassium channel subfamily K member 4	Cellinker	Channel
617	HMDB0001043	Arachidonic acid	Arachidonic acid	KCNJ4	Inward rectifier potassium channel 4	Cellinker	Channel
618	HMDB0001043	Arachidonic acid	Arachidonic acid	PRKCZ	Protein kinase C zeta type	Cellinker	Enzyme
619	HMDB0001043	Arachidonic acid	Arachidonic acid	TRPC6	Short transient receptor potential channel 6	Cellinker	Receptor
